id	char
765	蓝
766	蕊
767	藏
768	虑
769	虔
770	虚
771	虹
772	虽
773	蚀
774	蜜
775	蝇
776	蝴
777	蝶
778	融
779	血
780	行
781	街
782	衣
783	衫
784	衬
785	衰
786	被
787	袭
788	裙
789	西
790	要
791	覆
792	见
793	观
794	视
795	觉
796	解
797	触
798	言
799	让
800	议
801	记
802	许
803	论
804	诉
805	诗
806	诚
807	话
808	该
809	详
810	语
811	诱
812	说
813	诺
814	谁
815	谈
816	谓
817	谢
818	象
819	豫
820	赐
821	走
822	起
823	超
824	越
825	跃
826	跋
827	跑
828	距
829	跟
830	路
831	跳
832	踏
833	踩
834	踪
835	躁
836	身
837	躲
838	车
839	轨
840	转
841	轮
842	软
843	轻
844	辉
845	辑
846	辰
847	边
848	辽
849	达
850	过
851	迎
852	近
853	还
854	这
855	进
856	远
857	迟
858	迷
859	迹
860	追
861	退
862	逃
863	选
864	逍
865	透
866	逐
867	途
868	通
869	逝
870	造
871	逢
872	遇
873	遍
874	道
875	遗
876	遥
877	避
878	那
879	郁
880	都
881	酒
882	酷
883	醉
884	醒
885	采
886	释
887	里
888	重
889	野
890	量
891	金
892	钟
893	铃
894	锈
895	长
896	闪
897	问
898	闲
899	间
900	阔
901	阳
902	阴
903	阵
904	阻
905	际
906	陌
907	限
908	除
909	险
910	随
911	隐
912	隔
913	难
914	雄
915	雅
916	雨
917	零
918	雷
919	需
920	霞
921	霾
922	青
923	静
924	靠
925	面
926	音
927	顶
928	顾
929	颜
930	风
931	飘
932	飞
933	首
934	香
935	马
936	驰
937	骄
938	高
939	鱼
940	鲜
941	鳞
942	鸟
943	鸣
944	鹊
945	麦
946	黄
947	黎
948	黑
949	默
950	黯
951	：
